Tag_1,Tests,WPM
Cherry_Black,182,129.16429554945054
Cherry_Brown,180,130.18489492777778
Cherry_Red,1345,126.95363421933085
Ga15pyd_Laptop,381,129.1939934199475
IBM_Model_M,24,124.57220479166666
