Starting Hour (UTC),Characters,WPM
0,27417,130.11053420560748
1,74717,125.43298606914892
2,51152,127.52729812868634
3,24297,130.41102676213592
4,12608,135.84545058762885
5,3460,129.20053792857144
6,2111,135.13454028571428
14,468,126.12773700000001
15,28540,122.83848029953917
16,21692,128.39990696256683
17,22272,131.75289558421053
18,1553,119.07317975
22,677,113.68750442857143
23,2218,127.76946257142858
