Unique 30-Minute Block (UTC),Characters,Rank
2025-09-03_1_1,18387,1
2025-08-03_15_1,17835,2
2025-09-08_2_1,17809,3
2025-09-08_2_2,17692,4
2025-09-03_1_2,16844,5
2025-07-25_17_2,15291,6
2025-07-21_1_2,12118,7
2025-07-21_1_1,11970,8
2025-07-20_0_2,10762,9
2025-07-19_16_2,10678,10
2025-07-20_1_1,9711,11
2025-07-19_16_1,7720,12
2025-07-20_0_1,7393,13
2025-07-25_17_1,5828,14
2025-09-03_0_1,5648,15
2025-07-31_3_1,4921,16
2025-09-01_15_1,4253,17
2025-09-01_15_2,3510,18
2025-07-19_3_2,3326,19
2025-07-15_3_2,3198,20
2025-07-19_15_2,2851,21
2025-07-25_4_1,2708,22
2025-07-25_1_1,2341,23
2025-09-01_16_1,2225,24
2025-07-21_2_1,2158,25
2025-07-19_23_2,2100,26
2025-07-01_2_2,1902,27
2025-08-19_3_2,1846,28
2025-08-12_2_2,1781,29
2025-08-20_2_1,1701,30
2025-06-26_4_1,1685,31
2025-08-14_3_2,1645,32
2025-07-17_1_1,1459,33
2025-07-24_2_2,1451,34
2025-12-02_6_2,1407,35
2025-09-03_0_2,1401,36
2025-07-19_18_2,1400,37
2025-07-22_5_2,1387,38
2025-07-15_4_1,1381,39
2025-08-23_2_1,1271,40
2025-08-09_3_1,1241,41
2025-08-17_3_1,1152,42
2025-07-16_3_2,1088,43
2025-08-18_0_1,1027,44
2025-06-28_5_1,897,45
2025-07-19_17_1,858,46
2025-07-22_4_1,833,47
2025-07-01_4_1,812,48
2025-07-20_3_1,811,49
2025-07-22_4_2,784,50
