Unique 10-Minute Block (UTC),Characters,Rank
2025-09-03_1_2,6165,1
2025-09-03_1_1,6154,2
2025-08-03_15_2,6066,3
2025-09-08_2_3,6014,4
2025-09-03_1_3,5887,5
2025-09-08_2_5,5874,6
2025-09-08_2_6,5865,7
2025-09-08_2_4,5757,8
2025-09-08_2_2,5703,9
2025-08-03_15_3,5673,10
2025-08-03_15_1,5606,11
2025-09-08_2_1,5605,12
2025-09-03_1_5,5518,13
2025-09-03_1_6,5507,14
2025-09-03_1_4,5446,15
2025-07-25_17_5,5368,16
2025-07-25_17_6,5286,17
2025-07-25_17_4,4347,18
2025-07-21_1_3,4101,19
2025-07-21_1_6,4061,20
2025-07-21_1_5,3977,21
2025-07-21_1_4,3958,22
2025-07-21_1_2,3906,23
2025-07-19_16_2,3837,24
2025-07-21_1_1,3758,25
2025-07-20_0_3,3709,26
2025-07-19_16_4,3654,27
2025-07-20_0_4,3575,28
2025-07-20_1_2,3520,29
2025-07-19_16_5,3442,30
2025-07-20_0_5,3408,31
2025-07-20_0_6,3392,32
2025-07-19_16_6,3315,33
2025-07-20_1_1,3285,34
2025-07-19_3_4,3232,35
2025-07-20_1_3,2806,36
2025-07-19_16_3,2687,37
2025-09-03_0_3,2683,38
2025-07-19_15_6,2472,39
2025-07-25_17_3,2343,40
2025-07-25_1_2,2341,41
2025-07-25_4_3,2274,42
2025-09-01_16_2,2225,43
2025-07-21_2_1,2158,44
2025-09-01_15_6,2133,45
2025-07-19_23_6,2100,46
2025-09-01_15_2,1987,47
2025-07-20_0_2,1981,48
2025-09-01_15_3,1973,49
2025-07-31_3_1,1882,50
