Book,Tests,Error & Backspace Rate,WPM
Deuteronomy,10,0.0356428,150.7970736
Daniel,10,0.051048,146.5383166
John,86,0.0711824534883721,144.55389223255816
Genesis,1596,0.09460309649122808,128.23620602130325
Exodus,386,0.12276304663212435,120.4095941865285
