Word,Count,WPM
flocks,25,143.89661056
female,15,143.8881646
man,101,143.78439241584158
truth,31,143.65644345161292
every,49,143.53129395918367
Ishmael,16,143.4470194375
time,62,143.40087783870968
staff,19,143.35480315789474
according,36,143.29570863888887
women,16,143.187969375
became,42,143.0342117142857
birds,14,142.80908635714286
only,15,142.72315566666666
testimony,19,142.69574994736843
above,13,142.60975815384614
ascended,12,142.58087700000002
went,74,142.25697941891892
reported,13,141.88861415384616
wild,18,141.869258
sister,25,141.86103488
Bethel,12,141.815791
even,46,141.66030036956522
beasts,21,141.5212967142857
darkness,17,141.5178458235294
might,15,141.2337426
after,86,141.22659275581395
to,1559,141.16363165234125
send,16,141.0791020625
arrived,50,141.03640416
heaven,63,140.9171353015873
sold,12,140.6025245
frogs,11,140.49473954545454
before,76,140.46842460526318
mercy,10,140.4439955
behold,27,140.4209987037037
many,22,140.39874436363635
word,22,140.2444505
remain,13,140.1007886153846
taking,14,140.03057135714286
herds,10,139.9849274
like,43,139.9004125116279
woman,39,139.86605033333333
accept,10,139.7233349
Word,39,139.60974220512819
throughout,19,139.5151660526316
seven,56,139.4228389107143
journey,19,139.37912289473684
put,25,139.35858836
angry,14,139.22874785714285
fire,12,139.12078233333332
firmament,14,139.1187422857143
stood,10,138.90420690000002
famine,17,138.5980086470588
thirty,22,138.53730804545455
hundred,68,138.48790752941179
birth,34,138.46228135294118
servant,48,138.43462200000002
meet,17,138.40122588235295
stone,16,138.34000425
bought,12,138.33759766666665
willing,21,138.2659867142857
blood,24,138.22369154166668
he,1113,138.0523421150045
bore,33,137.95341678787878
let,65,137.9056649076923
male,18,137.71196794444444
saw,60,137.38166133333334
wife,99,137.16279534343434
Lamech,10,137.1416948
also,97,137.11960279381444
words,24,137.07755037500002
blessing,15,136.99146526666667
go,77,136.96765642857144
answered,33,136.92127848484847
Lord,335,136.70492432238805
valley,10,136.638767
myself,11,136.6124459090909
delivered,16,136.0408618125
not,325,136.0061520123077
door,14,135.91692914285713
men,63,135.79439936507936
bless,23,135.7350347826087
son,165,135.7286784909091
shall,186,135.68138146774194
youngest,12,135.5705765
Simeon,13,135.54188753846154
between,36,135.52961711111112
three,36,135.4623305
named,11,135.29030936363637
release,33,135.25435684848483
called,117,135.2269871965812
across,10,135.0866515
seen,43,134.74342653488372
made,68,134.67768338235294
camels,22,134.5802140909091
signs,12,134.516194
any,25,134.29307456
handmaid,13,134.266171
be,384,134.25955626302084
boy,26,134.25482515384616
little,36,134.13350530555556
forth,37,134.10470735135135
set,33,134.06106496969696
animals,20,133.9857563
evil,15,133.98459066666666
upon,105,133.7517995904762
beginning,59,133.6867286779661
Paradise,15,133.28779306666667
month,20,133.19982520000002
whom,51,133.02933576470588
river,31,132.8015752903226
do,71,132.67664592957746
likewise,15,132.5849322
nine,12,132.18074858333333
returned,27,132.08756392592593
city,37,132.0520317027027
gone,15,131.83711566666668
strong,12,131.82108533333334
water,43,131.68526655813955
can,15,131.58982673333333
kindred,13,131.50266561538461
altar,15,131.49896586666668
return,20,131.4978289
hardened,15,131.4316166
cattle,24,131.38360870833333
substance,14,131.32005021428571
so,285,131.26589197192982
works,13,131.2442936153846
possession,11,131.18352718181816
ceased,10,131.0333159
me,295,131.0316246779661
all,324,130.92703058641976
brothers,81,130.9029074074074
exceedingly,14,130.76310821428572
servants,70,130.49069515714285
did,105,130.37071598095238
covenant,23,130.254908
listen,24,130.13951791666668
sign,11,130.03254636363636
world,36,130.02934205555556
led,25,129.27414124
been,49,129.14386540816326
began,13,129.1330706923077
fled,10,127.40063949999998
first,35,127.36825068571429
had,296,127.17716123648647
judge,10,127.1195477
leaders,13,126.76321307692307
kind,14,126.64996664285715
formed,10,126.62927210000001
serve,11,126.62692500000001
him,467,126.58969570663811
struck,17,126.39207729411764
turned,23,126.23791891304347
darknesses,14,126.08885864285715
believe,14,125.91135514285715
waters,46,125.87012586956521
food,18,125.69932066666667
wilderness,13,125.638021
no,46,125.61502923913042
instructed,46,125.23294747826085
Leah,22,124.99912613636364
act,13,124.85624215384615
explained,12,124.84655433333334
now,42,124.67595119047618
midst,14,124.50889300000001
carry,11,124.43360363636363
husband,16,124.3559031875
whatever,17,124.3183368235294
forty,16,124.197305125
by,146,123.51297797945206
left,19,123.2854262105263
donkeys,17,122.8529474117647
Because,14,122.61555664285716
born,34,122.51681202941175
Light,28,122.46275746428572
beg,16,121.232114875
very,53,121.20030015094339
wives,22,121.08193254545455
full,10,121.0439572
Hebrews,12,121.00654208333333
Israel,101,120.83410604950494
abyss,10,119.8504054
Behold,33,119.82087912121212
Laban,29,119.80047810344828
favor,19,119.26856621052632
Noah,33,119.22843706060605
Moses,107,119.06387161682244
tree,23,118.83468500000001
Sodom,17,118.82578741176471
will,642,118.7575390669782
There,23,118.69737891304348
dug,10,118.69633390000001
nor,13,118.68824884615385
well,45,118.6395817111111
Goshen,10,118.35885269999999
offspring,48,118.35805835416666
given,22,118.16268054545456
we,95,117.61336535789474
sin,15,117.5188828
my,360,117.34711211388888
Life,16,117.3416986875
reverenced,12,117.01064791666666
twenty,15,116.93185126666665
good,30,116.61572353333334
filled,10,116.4570871
law,18,116.18180088888887
Esau,57,116.01148507017544
ten,14,115.96766435714287
Haran,13,115.83608823076922
Levi,11,115.72015618181818
happened,13,115.19120923076925
Shelah,10,115.15352579999998
Your,24,114.97800525000001
Reuben,15,114.71460913333334
silver,14,114.68526914285714
trees,11,114.38222309090908
strike,11,114.30273890909092
multiply,19,114.18409842105264
circumcised,13,114.16017746153847
Shem,15,114.15425826666666
Release,14,113.80852457142858
sleep,14,113.7649665
Sarah,30,113.7465744
beautiful,12,113.71361333333334
Edom,11,113.44317981818182
Mamre,10,113.3182323
harm,10,113.1298619
Benjamin,18,112.79098205555556
God,383,112.71919072323759
money,20,112.4227463
see,43,112.26090560465117
firstborn,35,112.17052042857142
Neither,16,111.4986455625
kill,13,110.87260500000001
Abraham,101,110.694303990099
Cain,15,110.19278126666667
Jacob,117,109.53390994871795
For,127,109.422326503937
sacks,10,109.2859588
This,35,107.97168297142858
built,13,107.84783300000001
Joseph,91,107.83647628571428
wept,11,107.5994198181818
Egyptians,46,107.47380530434783
daughters,53,106.99784128301887
possess,12,106.51245758333334
witness,11,106.37011881818181
Abimelech,19,106.32088063157894
These,48,106.03144910416667
Him,21,105.65260057142856
Abram,47,105.56334782978725
Sarai,13,105.31511053846154
Take,13,105.15959592307692
Thus,17,105.09496194117646
five,23,104.99663643478262
womb,15,104.49359306666666
Hittite,10,104.3965068
still,16,104.3808855
Adam,28,104.29580953571428
Ephraim,12,104.29001366666667
truly,23,103.43374660869566
Isaac,68,103.27904855882353
buy,12,103.27401675
therefore,15,103.02320806666667
Lot,27,102.63480418518519
Nahor,16,102.4703530625
Give,13,101.55209784615384
Canaan,48,101.244576
up,90,100.76768982222222
She,14,99.87274642857143
gifts,15,99.68868573333333
Therefore,73,99.5402455890411
And,1368,99.11773006578947
Manasseh,10,99.0785131
two,54,98.96546268518517
What,36,98.96069794444445
quickly,15,98.91808793333333
Rebekah,20,98.74815344999999
Shechem,12,98.51010866666667
Ephron,11,97.77811354545453
How,11,97.51068927272728
May,15,96.6451962
Let,36,94.43848305555555
But,172,93.41527926744186
Come,12,91.82910733333334
When,17,90.66218264705881
Yet,28,90.43065396428571
You,74,90.22219205405405
Judah,28,89.27867792857144
I,630,88.38741311269841
Egypt,164,88.23321487804878
Likewise,47,86.12882348936171
He,99,85.22228334343434
His,11,84.64284181818182
Egyptian,12,84.56108283333333
After,20,84.2328397
Japheth,10,83.9638273
Then,122,83.7140635409836
Aaron,44,82.11372270454545
The,133,81.55123557142856
They,18,81.06115522222223
dwelt,12,79.77906616666667
All,24,79.28038320833333
It,25,78.65117988
Now,64,78.087561609375
We,28,77.88683167857143
Mesopotamia,11,77.60840527272727
Pharaoh,140,77.55259333571429
Why,30,76.32704526666666
In,86,73.84671172093023
If,33,73.26820418181819
Do,30,72.53998240000001
My,15,68.86552073333334
So,21,68.06702923809523
Go,21,66.99785876190477
To,10,56.3037511
O,14,51.19549228571429
